,CoinName,Algorithm,IsTrading,ProofType,TotalCoinsMined,TotalCoinSupply
MAN,People,Scrypt,TRUE,PoW,,7500000000.00
LANA,LanaCoin,SHA-256D,TRUE,PoW/PoS,1082162636,7506000000.00
TAK,TakCoin,SHA-256,TRUE,PoW/PoS,,7515187520.00
CRYP,CrypticCoin,Equihash,TRUE,PoW,4235111504,7600000000.00
FRED,FREDEnergy,CryptoNight,TRUE,PoW,1867054873,8080000000.00
DASC,DasCoin,DPoS,TRUE,DPoS,,8589934592.00
XIN,Infinity Economics,SHA-256,TRUE,PoS,8999999990,9000000000.00
LFC,BigLifeCoin,X11,TRUE,PoW,,9900000000.00
XDN,DigitalNote ,CryptoNight,TRUE,PoW,6906587610,10000000000.00
GRE,GreenCoin,Scrypt,TRUE,PoW,4610340641,10000000000.00
CGA,Cryptographic Anomaly,Scrypt,TRUE,PoW,,10000000000.00
PROUD,PROUD Money,X11,TRUE,PoW/PoS,0,10000000000.00
KLC,KiloCoin,Scrypt,TRUE,PoW,196297971,10000000000.00
DAXX,DaxxCoin,Ethash,TRUE,PoW,520891780,10000000000.00
SSS,ShareChain,Scrypt,TRUE,PoW,10000000000,10000000000.00
MPT,Media Protocol Token,Ethash,FALSE,PoW,10000000000,10000000000.00
XHI,HiCoin,Scrypt,TRUE,PoS,10000244678,10008835635.00
MANNA,Manna,SHA-256,FALSE,PoW,2360478329,10044655075.56
SIC,Swisscoin,Scrypt,TRUE,PoW/PoS,10200000000,10200000000.00
SOJ,Sojourn Coin,Scrypt,TRUE,PoW,485214,10500000000.00
ADC,AudioCoin,Scrypt,TRUE,PoW/PoS,980732529,10500000000.00
UPX,uPlexa,CryptoNight,TRUE,PoW,,10500000000.00
EAC,EarthCoin,Scrypt,TRUE,PoW,12539015187,13500000000.00
NOBL,NobleCoin,Scrypt,TRUE,PoW,2366066306,15000000000.00
SAT2,Saturn2Coin,Scrypt,TRUE,PoW,,15000000000.00
DOGED,DogeCoinDark,Scrypt,TRUE,PoW,0,16500000000.00
XVG,Verge,Multiple,TRUE,PoW,15929530669,16555000000.00
PNY,Peony Coin,Scrypt,TRUE,PoS,1042012.452,16880000000.00
TSC,ThunderStake,Scrypt,TRUE,PoW/PoS,1059954080,18000000000.00
LOT,LottoCoin,Scrypt,TRUE,PoW,14491014421,18406979840.00
BUZZ,BuzzCoin,SHA-256D,TRUE,PoW/PoS,19577787259,20000000000.00
JOBS,JobsCoin,X11,TRUE,PoW/PoS,,20000000000.00
DGB,DigiByte,Multiple,TRUE,PoW,11406219141,21000000000.00
DVC,DevCoin,SHA-256,TRUE,PoW,18773857500,21000000000.00
VTA,VirtaCoin,Scrypt,TRUE,PoW,0,21000000000.00
COLX,ColossusCoinXT,X11,TRUE,PoS,,21000000000.00
BTCZ,BitcoinZ,Equihash,TRUE,PoW,5211553258,21000000000.00
CDY,Bitcoin Candy,Equihash,TRUE,PoW,,21000000000.00
LEAF,LeafCoin,Scrypt,TRUE,PoW,0,21000000000.00
XTL,Stellite,CryptoNight,FALSE,PoW,,21000000000.00
DIEM,CarpeDiemCoin,SHA-256,TRUE,PoW,21739971929,21626280000.00
WOMEN,WomenCoin,Scrypt,TRUE,PoW/PoS,48459472454,25000000000.00
ECC,ECC,Scrypt,FALSE,PoS,25000000000,25000000000.00
WRT,WRTcoin,X11,TRUE,PoW,,25000000000.00
HTC,Hitcoin,X11,TRUE,PoW/PoS,10996318099,26550000000.00
ECA,Electra,NIST5,TRUE,PoW/PoS,28399150208,30000000000.00
PBC,PabyosiCoin,X11,TRUE,PoW/PoS,,31500000000.00
PCS,Pabyosi Coin,X11,TRUE,PoW/PoS,,31500000000.00
PND,PandaCoin,Scrypt,TRUE,PoS,33813143822,32514916898.00
LDOGE,LiteDoge,Scrypt,TRUE,PoW/PoS,15318887081,35000000000.00
CSC,CasinoCoin,Scrypt,TRUE,PoC,39999997300,40000000000.00
VPRC,VapersCoin,Scrypt,TRUE,PoW,,42750000000.00
ADA,Cardano,Ouroboros,TRUE,PoS,25927070538,45000000000.00
FUNK,Cypherfunks Coin,Scrypt,TRUE,PoW,,49275000000.00
BEAN,BeanCash,SHA-256,TRUE,PoW/PoS,,50000000000.00
PAYP,PayPeer,X11,TRUE,PoW/PoS,,50000000000.00
ESP,Espers,536,TRUE,PoW/PoS,22801882871,50000000000.00
LINDA,Linda,Scrypt,TRUE,PoW/PoS,9044930943,50000000000.00
GER,GermanCoin,Scrypt,TRUE,PoW/PoS,4911500269,50000000000.00
SMLY,SmileyCoin,Scrypt,TRUE,PoW,29583989323,50000000000.00
BITM,BitMoney,XEVAN,TRUE,Pos,208515864.4,70000000000.00
CREDIT,Credit,Scrypt,TRUE,PoW/PoS,30825710000,74800000000.00
PROC,ProCurrency,SHA-256,TRUE,PoS,100545745,75000000000.00
XUN,UltraNote,CryptoNight,TRUE,PoW,19281821413,85000000000.00
VET,Vechain,VeChainThor Authority,TRUE,Proof of Authority,55454734800,86712634466.00
DRM8,Dream8Coin,Scrypt,TRUE,PoW,,88800000000.00
HTML5,HTML5 Coin,X15,TRUE,PoW/PoS,40659020000,90000000000.00
HTML,HTML Coin,SHA-256,TRUE,PoW/PoS,0,90000000000.00
PHO,Photon,BLAKE256,TRUE,PoW,30089671531,90000000000.00
IFC,Infinite Coin,Scrypt,TRUE,PoW,90595753019,90600000000.00
1CR,1Credit,Scrypt,TRUE,PoW,88213,92000000000.00
LYNX,Lynx,Scrypt,TRUE,HPoW,77872059788,92000000000.00
SLR,SolarCoin,Scrypt,TRUE,PoW,55565076.39,98100000000.00
ZEIT,ZeitCoin,Scrypt,TRUE,PoS,36971236047,99000000000.00
FLAP,Flappy Coin,Scrypt,TRUE,PoW,0,100000000000.00
PAC,PacCoin,X11,TRUE,PoW,536982074,100000000000.00
BUN,BunnyCoin,Scrypt,TRUE,PoW,,100000000000.00
XCASH,X-CASH,CryptoNight Heavy X,TRUE,PoW,0,100000000000.00
LAX,LAPO,Lyra2Z,FALSE,PoW/PoS,11086825523,100000000000.00
HCC,HappyCreatorCoin ,Scrypt,TRUE,PoW,,100100400000.00
NTM,NetM,Scrypt,TRUE,PoW,,101318932073.90
NCP,Newton Coin,CryptoNight,TRUE,PoW,41294520017,184000000000.00
BCN,ByteCoin,CryptoNight,TRUE,PoW,1.84067E+11,184467440735.00
QWC,Qwertycoin,CryptoNight Heavy,TRUE,PoW,99553110529,184470000000.00
GCN,gCn Coin,Scrypt,TRUE,PoW,1.63055E+11,200000000000.00
AX,AlphaX,Scrypt,TRUE,PoS,,200000000000.00
MBTC,MicroBitcoin,Rainforest,TRUE,PoW,,210000000000.00
1337,EliteCoin,X13,TRUE,PoW/PoS,29279424623,314159265359.00
AIB,AdvancedInternetBlock,Scrypt,TRUE,PoW,,314159265359.00
MOON,MoonCoin,Scrypt,TRUE,PoW,88,384000000000.00
TIPS,FedoraCoin,Scrypt,TRUE,PoW,,500000000000.00
FFC,FireflyCoin,SHA-256,TRUE,PoW,,700000000000.00
KUBOS,KubosCoin,Scrypt,FALSE,PoW/PoS,,986898568551.00
BTT,BitTorrent,TRC10,TRUE,DPoS,9.89989E+11,990000000000.00
TRTL,TurtleCoin,CryptoNight,TRUE,PoW,53139835214,1000000000000.00
PZM,Prizm,SHA-256,TRUE,PoS,,600000000000000.00
VAL,Valorbit,Scrypt,TRUE,PoW/PoS,0,92233720000000000.00
MIMI,MIMI Money,CryptoNight,FALSE,PoW,,1000000000000000000.00
